Designator,Footprint,Quantity,Value,LCSC Part #
C101,0805,1,4u7,C1779
"C102, C103, C104, C105, C106, C107, C108, C111",0603,8,100n,C14663
"C109, C110",0805,2,2u2,C377773
"D101, D102, D103",D_SMA,3,SS14,C2480
"J101, J107, J108",PHD_02x04H-H,3,PHD_02x04V-H,-
J102,USBC_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"J103, J105, J106",PH_01x05H-H,3,PH_01x05V-H,-
"J104, J109",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,-
"R101, R105",0603,2,10k,C25804
"R103, R104",0603,2,5k1,C23186
RV101,RV_Bourns_3362,1,10k,C58159
"SW101, SW102",PushBtn_TS-1187A-B-A-B,2,SW_Push,C318884
SWD101,PH_01x05H-H,1,SWD_Breakout_Minimal,-
TP101,TestPoint_Pad_2.5x2.5mm,1,TestPoint,-
U101,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,C81720
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,C132227
U103,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
